term,petitioner,respondent,jurisdiction,caseOrigin,caseSource,certReason,issue,issueArea,vote
1957,145,116,1,0,25,12,80040,8,majority
1957,240,369,1,109,23,12,120020,12,majority
1957,158,158,1,30,30,10,80010,8,majority
1957,12,116,1,96,22,10,90250,9,majority
1957,4,151,1,44,29,12,80050,8,majority
1957,145,231,1,302,301,12,80070,8,majority
1957,173,187,1,0,27,12,90480,9,majority
1957,382,151,1,26,26,3,70070,7,majority
1957,126,27,1,51,29,12,10080,1,majority
1957,27,106,2,53,53,1,10480,1,majority
1957,5,27,2,50,50,1,80240,8,majority
1957,4,27,2,123,123,1,80240,8,majority
1957,348,116,1,32,32,12,80230,8,majority
1957,208,148,1,160,24,12,80040,8,majority
1957,100,28,1,302,300,10,10010,1,majority
1957,254,27,1,55,32,12,30050,3,majority
1957,100,28,1,302,300,12,20040,2,majority
1957,152,27,1,46,28,2,80350,8,majority
1957,27,152,1,155,24,12,80350,8,majority
1957,188,153,1,302,300,11,90390,9,majority
1957,249,247,1,302,301,10,100020,10,majority
1957,249,145,1,302,300,10,100020,10,majority
1957,106,27,1,81,26,12,20280,2,majority
1957,106,27,1,81,26,12,20280,2,majority
1957,213,27,1,55,32,12,10280,1,majority
1957,27,184,2,92,92,1,90110,9,majority
1957,106,1,1,55,32,12,20110,2,majority
1957,382,151,1,58,25,2,90120,9,majority
1957,151,382,1,51,29,12,90120,9,majority
1957,27,195,1,121,25,10,40070,4,majority
1957,240,369,1,9,26,3,120010,12,majority
1957,369,240,1,9,26,12,120010,12,majority
1957,27,240,1,92,23,12,120010,12,majority
1957,240,27,1,134,30,2,120010,12,majority
1957,3,231,1,66,27,12,100100,10,majority
1957,249,382,1,29,29,11,70150,7,majority
1957,244,328,1,55,32,12,30060,3,majority
1957,244,328,1,55,32,12,30060,3,majority
1957,27,187,1,3,3,10,40070,4,majority
1957,159,1,1,55,32,10,90110,9,majority
1957,213,4,1,302,300,12,20370,2,majority
1957,250,151,1,105,30,10,20250,2,majority
1957,18,195,1,302,300,12,40070,4,majority
1957,100,27,1,55,32,11,10050,1,majority
1957,3,25,1,302,300,12,100100,10,majority
1957,501,28,1,302,300,12,90150,9,majority
1957,382,249,1,22,22,12,70150,7,majority
1957,19,27,1,3,3,10,80060,8,majority
1957,382,249,1,32,32,3,70090,7,majority
1957,100,28,1,302,300,12,10010,1,majority
1957,250,5,2,302,300,1,30070,3,majority
1957,130,5,1,302,300,12,30070,3,majority
1957,223,19,1,302,300,10,30010,3,majority
1957,110,27,1,121,25,11,10050,1,majority
1957,100,27,1,60,25,10,10050,1,majority
1957,357,171,1,26,26,10,80170,8,majority
1957,224,21,1,46,46,12,20050,2,majority
1957,130,5,2,302,300,1,30070,3,majority
1957,100,27,1,110,23,12,10050,1,majority
1957,110,27,1,0,25,12,10050,1,majority
1957,100,27,1,96,22,12,10090,1,dissent
1957,158,158,1,66,27,2,80010,8,dissent
1957,238,238,1,93,30,2,80010,8,dissent
1957,357,198,1,27,27,13,80010,8,dissent
1957,254,27,1,81,26,10,10090,1,dissent
1957,126,27,1,96,22,10,10080,1,dissent
1957,100,27,1,94,22,12,10300,1,dissent
1957,100,28,1,45,29,10,10010,1,dissent
1957,126,28,1,302,300,11,10170,1,dissent
1957,106,368,1,50,29,12,20110,2,dissent
1957,1,106,1,55,32,2,20110,2,dissent
1957,200,166,1,302,300,12,40060,4,dissent
1957,126,27,1,55,32,11,10170,1,dissent
1957,8,21,1,302,300,12,30120,3,dissent
1957,8,19,2,302,300,1,30120,3,dissent
1957,100,28,1,302,300,10,10010,1,dissent
1957,136,28,1,300,300,12,10130,1,dissent
1958,224,21,1,46,28,10,20050,2,majority
1958,224,21,1,46,28,10,20050,2,majority
1958,145,231,1,302,300,12,80040,8,majority
1958,145,20,8,302,300,1,80040,8,majority
1958,240,369,1,9,24,11,120020,12,majority
1958,231,27,2,80,80,1,80220,8,majority
1958,246,27,1,32,32,12,80140,8,majority
1958,246,27,1,32,32,12,80140,8,majority
1958,246,338,1,32,32,12,80140,8,majority
1958,28,28,9,0,0,1,110020,11,majority
1958,208,171,1,0,28,13,90150,9,majority
1958,100,27,1,106,30,2,10370,1,majority
1958,345,195,2,155,155,1,80350,8,majority
1958,249,382,1,55,32,12,90120,9,majority
1958,224,21,2,42,42,1,20050,2,majority
1958,209,148,1,32,32,11,80310,8,majority
1958,27,100,2,92,92,1,80240,8,majority
1958,245,245,2,86,86,1,80240,8,majority
1958,254,27,1,55,32,12,30050,3,majority
1958,362,152,1,25,25,10,90120,9,majority
1958,126,27,6,85,25,1,10380,1,majority
1958,223,121,2,118,118,1,20040,2,majority
1958,371,151,1,126,24,4,70040,7,majority
1958,170,238,1,302,300,10,20160,2,majority
1958,28,25,1,44,29,10,80100,8,majority
1958,186,27,1,50,29,12,20240,2,majority
1958,216,27,2,96,96,1,80020,8,majority
1958,145,151,1,302,300,12,100020,10,majority
1958,145,116,1,302,300,12,80050,8,majority
1958,126,28,1,0,27,12,10010,1,majority
1958,249,151,1,302,300,10,100030,10,majority
1958,100,27,1,52,30,11,10050,1,majority
1958,100,27,1,55,32,11,10360,1,majority
1958,1,159,1,302,301,12,90120,9,majority
1958,102,1,1,64,29,12,90120,9,majority
1958,27,191,2,109,109,1,80010,8,majority
1958,100,27,1,42,25,4,10390,1,majority
1958,145,116,1,92,23,12,80070,8,majority
1958,25,28,2,302,300,1,80100,8,majority
1958,240,27,1,129,29,10,120020,12,majority
1958,123,233,1,66,27,11,80010,8,majority
1958,234,19,2,300,300,1,80100,8,majority
1958,126,28,1,302,300,11,10170,1,majority
1958,145,116,1,96,22,11,80050,8,majority
1958,126,28,1,302,300,11,10120,1,majority
1958,3,219,2,85,25,1,90340,9,majority
1958,28,254,1,302,300,11,10600,1,majority
1958,126,27,1,86,28,10,10170,1,majority
1958,27,146,1,109,23,2,80030,8,majority
1958,25,19,2,0,300,1,80100,8,majority
1958,501,3,2,302,300,1,90160,9,majority
1958,106,27,1,96,22,12,20270,2,majority
1958,8,27,1,131,24,11,120010,12,majority
1958,172,302,1,55,32,12,90340,9,majority
1958,501,28,1,302,300,12,90150,9,majority
1958,245,28,1,300,300,13,80110,8,majority
1958,116,234,1,121,25,2,80050,8,majority
1958,126,27,1,85,25,11,10170,1,majority
1958,238,238,1,50,29,10,80010,8,majority
1958,187,369,1,109,23,4,120010,12,majority
1958,145,231,1,302,300,11,80040,8,majority
1958,145,231,1,96,22,10,80040,8,majority
1958,249,151,1,302,300,11,100020,10,majority
1958,27,100,2,110,110,1,80140,8,majority
1958,118,27,1,79,24,2,80010,8,majority
1958,145,15,1,86,28,12,80060,8,majority
1958,371,135,1,74,26,2,70040,7,majority
1958,116,234,1,79,24,3,80070,8,majority
1958,123,27,1,109,23,12,10170,1,majority
1958,27,116,1,96,22,11,80060,8,majority
1958,247,231,1,50,29,10,70030,7,majority
1958,254,17,1,302,300,11,30050,3,majority
1958,249,5,1,302,300,2,100020,10,majority
1958,357,238,1,27,27,12,80010,8,majority
1958,126,28,1,68,27,12,90040,9,majority
1958,249,27,1,112,21,10,10430,1,majority
1958,208,171,1,101,28,12,80040,8,majority
1958,245,27,1,120,25,4,80240,8,majority
1958,8,27,1,96,22,2,80050,8,majority
1958,249,151,1,302,300,12,100020,10,majority
1958,242,16,1,51,29,10,10580,1,majority
1958,19,245,2,67,67,1,100120,10,majority
1958,8,326,1,55,32,11,30120,3,majority
1958,223,19,1,300,300,12,90380,9,majority
1958,100,27,1,41,25,10,10370,1,majority
1958,27,209,2,55,55,1,80010,8,majority
1958,251,5,2,302,300,1,20010,2,majority
1958,357,184,1,32,32,10,80010,8,majority
1958,5,195,1,111,23,10,90090,9,majority
1958,382,151,1,25,25,4,70170,7,majority
1958,223,19,1,302,300,12,90350,9,majority
1958,213,28,1,302,300,11,20350,2,majority
1958,100,28,1,302,300,11,10200,1,majority
1958,208,245,1,111,23,10,10580,1,majority
1958,382,151,1,25,25,12,70070,7,majority
1958,100,27,1,52,30,11,10260,1,majority
1958,27,241,1,66,27,11,80050,8,majority
1958,238,238,2,302,300,1,80110,8,majority
1958,198,4,1,23,23,10,80300,8,majority
1958,234,116,1,75,25,12,80070,8,majority
1958,254,28,1,302,300,10,30050,3,majority
1958,369,240,1,9,29,3,120010,12,majority
1958,145,324,1,55,32,12,30120,3,majority
1958,211,221,1,302,300,10,30030,3,majority
1958,231,145,1,92,23,10,80050,8,majority
1958,231,145,1,90,29,10,80050,8,majority
1958,156,19,1,302,300,12,30190,3,majority
1958,145,324,1,55,32,12,30120,3,majority
1958,28,28,9,0,0,1,110020,11,majority
1958,382,249,1,55,32,10,90120,9,dissent
1958,116,145,1,92,23,11,80050,8,dissent
1958,116,145,1,96,22,12,80070,8,dissent
1958,254,27,1,96,22,11,10080,1,dissent
1958,100,28,6,302,300,1,10170,1,dissent
1958,100,28,2,302,302,1,10050,1,dissent
1958,148,3,1,75,25,10,90090,9,dissent
1958,254,19,2,302,300,1,30050,3,dissent
1958,254,27,1,55,32,11,30050,3,dissent
1958,19,223,2,126,126,1,90010,9,dissent
1958,254,16,1,302,300,12,10120,1,dissent
1958,100,27,1,109,23,11,10160,1,dissent
1958,184,27,1,127,24,11,10160,1,dissent
1958,223,19,2,46,46,1,90010,9,dissent
1958,19,8,1,55,32,11,80140,8,dissent
1958,186,8,1,80,21,11,80140,8,dissent
1958,100,27,1,60,25,11,10490,1,dissent
1959,145,231,1,302,300,12,80040,8,majority
1959,145,231,1,302,301,12,80040,8,majority
1959,249,27,1,111,23,12,70110,7,majority
1959,27,231,1,0,24,4,80220,8,majority
1959,369,240,1,9,26,2,120010,12,majority
1959,110,27,1,66,27,12,10050,1,majority
1959,145,116,1,58,25,11,80040,8,majority
1959,234,116,1,150,25,12,90130,9,majority
1959,145,27,1,109,23,12,80060,8,majority
1959,215,27,1,96,29,12,90130,9,majority
1959,145,116,1,94,22,13,80070,8,majority
1959,117,28,2,302,302,1,30190,3,majority
1959,231,27,2,83,83,1,80020,8,majority
1959,4,352,1,23,23,12,80300,8,majority
1959,136,28,1,302,300,11,10010,1,majority
1959,100,27,1,111,23,12,10330,1,majority
1959,27,126,1,55,32,10,10370,1,majority
1959,371,151,1,108,29,12,90150,9,majority
1959,27,186,2,131,131,1,20240,2,majority
1959,8,27,1,110,23,12,20240,2,majority
1959,324,8,1,55,32,12,20240,2,majority
1959,371,151,1,59,25,2,70040,7,majority
1959,27,240,1,45,29,2,120010,12,majority
1959,145,231,1,302,300,10,80040,8,majority
1959,6,121,1,302,300,12,100020,10,majority
1959,241,21,2,302,300,1,100110,10,majority
1959,145,151,1,120,25,12,70040,7,majority
1959,382,185,1,26,26,12,80070,8,majority
1959,100,27,1,129,29,12,10170,1,majority
1959,146,132,1,116,26,12,80070,8,majority
1959,382,249,1,55,32,10,70070,7,majority
1959,223,3,1,302,300,10,30010,3,majority
1959,27,143,2,55,55,1,80010,8,majority
1959,27,19,2,59,59,1,20010,2,majority
1959,27,19,1,75,25,12,20010,2,majority
1959,223,28,1,302,301,11,30010,3,majority
1959,152,19,2,50,50,1,90340,9,majority
1959,215,28,1,300,300,12,40020,4,majority
1959,240,27,6,134,30,1,120010,12,majority
1959,100,3,1,302,302,11,40010,4,majority
1959,200,19,2,302,300,1,80100,8,majority
1959,213,27,1,0,22,12,90150,9,majority
1959,213,27,1,0,32,12,20320,2,majority
1959,100,27,1,55,32,10,10050,1,majority
1959,382,249,1,32,32,10,70140,7,majority
1959,357,171,1,28,28,10,80120,8,majority
1959,126,28,1,0,300,12,90130,9,majority
1959,213,27,1,0,24,12,90330,9,majority
1959,231,27,2,71,71,1,80220,8,majority
1959,249,231,1,66,27,10,70110,7,majority
1959,249,116,1,129,29,11,70110,7,majority
1959,112,166,1,96,22,12,80190,8,majority
1959,368,106,2,51,51,1,20270,2,majority
1959,145,231,1,57,25,11,80040,8,majority
1959,136,27,1,0,28,12,40020,4,majority
1959,171,369,1,96,22,2,90320,9,majority
1959,249,382,1,32,32,10,70030,7,majority
1959,116,3,2,302,300,1,100090,10,majority
1959,501,28,1,302,300,12,90150,9,majority
1959,152,27,2,55,55,1,80020,8,majority
1959,8,19,2,302,300,1,30090,3,majority
1959,249,382,1,26,26,2,70200,7,majority
1959,27,184,1,66,27,10,80130,8,majority
1959,168,27,1,41,25,11,10500,1,majority
1959,145,116,1,80,21,2,80070,8,majority
1959,501,27,1,0,25,12,90150,9,majority
1959,27,28,1,41,25,10,20010,2,majority
1959,126,28,1,0,300,12,20320,2,majority
1959,249,151,1,0,300,12,100020,10,majority
1959,241,5,2,302,300,1,90340,9,majority
1959,357,119,1,27,27,12,80010,8,majority
1959,130,130,1,302,300,12,30160,3,majority
1959,215,28,1,103,26,12,20350,2,majority
1959,27,240,2,81,81,1,120010,12,majority
1959,231,27,1,3,3,11,90120,9,majority
1959,123,171,1,58,25,12,90190,9,majority
1959,27,4,1,3,3,12,100080,10,majority
1959,27,240,1,111,23,3,120030,12,majority
1959,209,198,1,23,23,11,90120,9,majority
1959,369,240,1,9,26,3,120020,12,majority
1959,126,27,1,121,25,10,10450,1,majority
1959,319,19,2,77,77,1,40010,4,majority
1959,120,27,1,302,300,12,120030,12,majority
1959,27,120,1,99,24,12,120030,12,majority
1959,249,231,1,120,25,10,70190,7,majority
1959,357,118,1,27,27,3,80010,8,majority
1959,170,19,2,44,44,1,90090,9,majority
1959,100,28,1,302,300,10,10120,1,majority
1959,240,369,1,66,27,12,120010,12,majority
1959,245,27,2,55,55,1,80240,8,majority
1959,234,116,1,75,25,10,90140,9,majority
1959,120,27,1,3,3,12,40070,4,majority
1959,27,253,2,51,51,1,10400,1,majority
1959,27,187,1,69,27,10,120010,12,majority
1959,125,27,1,58,25,2,120010,12,majority
1959,125,27,1,54,23,12,120010,12,majority
1959,369,245,1,9,25,2,120010,12,majority
1959,198,352,1,30,30,10,80300,8,majority
1959,198,352,1,25,25,12,80300,8,majority
1959,100,27,1,108,29,10,10050,1,majority
1959,100,27,1,51,29,11,10060,1,majority
1959,213,28,1,0,300,12,20370,2,majority
1959,116,27,2,54,54,1,80010,8,majority
1959,100,27,1,0,30,12,10050,1,majority
1959,100,27,1,0,27,12,10050,1,majority
1959,145,231,1,302,300,12,80040,8,dissent
1959,249,28,2,302,300,1,90130,9,dissent
1959,8,5,1,302,300,12,30120,3,dissent
1959,106,27,1,94,22,12,10050,1,dissent
1959,371,120,1,121,25,2,70040,7,dissent
1959,106,368,1,108,29,12,20110,2,dissent
1959,100,27,1,96,22,12,10370,1,dissent
1959,126,28,1,121,25,13,90170,9,dissent
1959,254,27,1,96,22,12,10080,1,dissent
1959,16,172,1,66,27,2,90140,9,dissent
1959,106,368,1,29,29,12,20110,2,dissent
1959,362,106,2,55,55,1,30120,3,dissent
1959,16,116,1,66,27,11,90320,9,dissent
1959,159,1,1,55,32,10,80050,8,dissent
1959,27,116,1,96,22,10,90500,9,dissent
1959,142,27,1,52,30,10,30130,3,dissent
1959,223,28,2,302,300,1,20040,2,dissent
1960,27,135,2,302,300,1,120030,12,majority
1960,27,122,1,51,29,10,120030,12,majority
1960,145,116,1,103,26,12,80040,8,majority
1960,184,501,1,0,26,0,120020,12,majority
1960,227,19,1,41,25,10,20010,2,majority
1960,106,27,1,51,29,12,20280,2,majority
1960,240,27,1,51,29,4,120010,12,majority
1960,116,151,1,109,23,11,80070,8,majority
1960,231,145,1,80,21,12,80040,8,majority
1960,501,28,1,302,302,12,80100,8,majority
1960,404,114,1,72,30,11,120030,12,majority
1960,223,28,1,302,300,10,20080,2,majority
1960,100,28,2,302,301,1,10090,1,majority
1960,159,19,2,302,300,1,100110,10,majority
1960,10,19,2,46,46,1,30010,3,majority
1960,224,28,1,0,0,0,20050,2,majority
1960,27,28,9,0,0,1,100040,10,majority
1960,254,27,1,96,22,10,10110,1,majority
1960,27,176,1,3,3,10,80140,8,majority
1960,382,249,1,22,22,3,70120,7,majority
1960,126,27,1,86,28,10,10470,1,majority
1960,114,135,1,81,26,2,80030,8,majority
1960,215,27,1,51,29,10,10020,1,majority
1960,100,27,1,52,30,12,30060,3,majority
1960,145,249,1,74,26,10,70030,7,majority
1960,184,148,1,66,27,13,80010,8,majority
1960,126,27,1,73,26,11,90150,9,majority
1960,352,209,1,23,23,12,80310,8,majority
1960,100,27,1,80,21,10,10160,1,majority
1960,382,151,1,27,27,12,70100,7,majority
1960,27,143,2,55,55,1,80010,8,majority
1960,231,245,1,109,23,11,80010,8,majority
1960,27,151,2,96,96,1,90330,9,majority
1960,145,231,1,302,300,13,80040,8,majority
1960,222,19,1,66,27,13,20400,2,majority
1960,172,184,1,68,27,12,90140,9,majority
1960,106,27,1,96,22,12,20280,2,majority
1960,27,106,1,94,22,12,20280,2,majority
1960,501,28,1,302,300,12,90150,9,majority
1960,208,104,1,96,22,12,80050,8,majority
1960,100,27,1,153,27,10,10160,1,majority
1960,148,132,1,117,26,11,80010,8,majority
1960,113,28,2,302,300,1,100110,10,majority
1960,100,27,1,55,32,11,10050,1,majority
1960,19,3,1,66,27,12,20400,2,majority
1960,113,4,1,302,300,11,80100,8,majority
1960,110,28,1,302,300,11,10120,1,majority
1960,100,28,1,53,22,11,10010,1,majority
1960,100,27,1,126,24,12,10570,1,majority
1960,100,28,2,302,300,1,10120,1,majority
1960,213,28,1,302,300,11,90160,9,majority
1960,100,27,1,59,25,11,10050,1,majority
1960,27,195,1,127,24,11,40070,4,majority
1960,126,27,1,51,29,12,10360,1,majority
1960,249,382,1,27,27,11,70030,7,majority
1960,249,382,1,32,32,12,70030,7,majority
1960,382,220,1,22,22,2,70030,7,majority
1960,249,382,1,21,21,12,70030,7,majority
1960,213,28,1,302,300,11,20350,2,majority
1960,223,4,1,302,300,12,20040,2,majority
1960,145,116,1,96,22,11,80050,8,majority
1960,241,5,1,128,29,11,80100,8,majority
1960,240,27,1,3,3,3,120010,12,majority
1960,100,27,1,97,22,11,10010,1,majority
1960,234,116,1,75,25,12,90130,9,majority
1960,100,27,1,55,32,11,10090,1,majority
1960,145,27,2,81,81,1,80020,8,majority
1960,166,28,1,302,300,10,100030,10,majority
1960,28,157,1,44,29,10,80100,8,majority
1960,126,28,1,302,300,12,90150,9,majority
1960,222,28,1,0,301,12,20040,2,majority
1960,184,184,1,0,27,12,90150,9,majority
1960,100,27,1,66,27,13,10490,1,majority
1960,254,28,1,302,300,10,30050,3,majority
1960,234,231,2,124,124,1,80220,8,majority
1960,143,144,2,302,300,1,80110,8,majority
1960,19,223,2,75,75,1,30010,3,majority
1960,369,240,1,9,22,2,120020,12,majority
1960,106,1,1,66,27,13,20270,2,majority
1960,27,128,2,66,66,1,80020,8,majority
1960,27,195,1,96,22,2,120010,12,majority
1960,186,27,1,3,3,10,20250,2,majority
1960,100,28,1,302,300,12,90150,9,majority
1960,126,28,1,300,300,12,10330,1,majority
1960,145,28,2,302,300,1,30170,3,majority
1960,238,28,2,109,109,1,30170,3,majority
1960,27,28,1,302,300,4,20250,2,majority
1960,198,6,1,302,300,10,80300,8,majority
1960,249,382,1,32,32,13,70140,7,majority
1960,220,27,2,96,96,1,90110,9,majority
1960,27,195,1,126,24,10,80060,8,majority
1960,100,28,1,68,27,12,10260,1,majority
1960,249,382,1,32,32,12,70100,7,majority
1960,231,27,2,132,132,1,80220,8,majority
1960,100,27,1,55,32,12,10280,1,majority
1960,369,143,1,66,27,2,120010,12,majority
1960,312,104,1,22,22,12,80260,8,majority
1960,27,250,1,109,23,11,20250,2,majority
1960,211,19,1,301,300,11,30060,3,majority
1960,194,249,1,32,32,10,80280,8,majority
1960,126,27,1,121,25,3,10370,1,majority
1960,100,28,1,66,27,11,10010,1,majority
1960,254,27,1,55,32,11,30050,3,majority
1960,19,19,2,302,300,1,30160,3,majority
