"","X","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","voting","hawthorne","civicduty","neighbors","self","control"
"100",100,1,1979,0,0,1,0,0,0,1,1,0,0,0,0
"101",101,0,1963,1,1,1,0,0,1,1,0,0,1,0,0
"102",102,1,1970,1,1,1,0,1,1,1,0,0,1,0,0
"103",103,1,1918,1,1,1,0,1,0,0,0,0,0,0,1
"104",104,1,1965,0,1,1,0,0,1,0,0,1,0,0,0
"105",105,0,1939,0,1,1,0,1,1,1,0,0,0,0,1
"106",106,1,1935,0,1,1,0,0,0,0,0,0,0,0,1
"107",107,0,1933,0,1,1,0,0,0,0,0,0,0,0,1
"108",108,0,1944,1,1,1,0,1,0,0,0,1,0,0,0
"109",109,1,1943,1,0,1,0,0,0,0,0,1,0,0,0
"110",110,0,1945,1,1,1,0,1,0,1,0,0,0,0,1
"111",111,1,1947,1,1,1,0,1,0,1,0,0,0,0,1
"112",112,0,1950,1,1,1,1,0,0,0,0,0,0,0,1
"113",113,1,1956,1,1,1,1,0,0,0,0,0,0,0,1
"114",114,0,1929,1,1,1,0,1,1,1,0,0,0,0,1
"115",115,1,1935,1,1,1,0,0,1,1,0,0,0,0,1
"116",116,1,1959,1,1,1,0,0,0,0,0,0,0,1,0
"117",117,0,1952,1,1,1,0,1,0,0,0,0,0,1,0
"118",118,0,1985,0,0,1,0,0,0,0,0,0,0,1,0
"119",119,1,1956,1,1,1,1,1,0,0,0,0,0,1,0
"120",120,0,1954,1,1,1,1,1,0,0,0,0,0,1,0
"121",121,1,1983,0,1,1,0,0,0,0,0,0,0,1,0
"122",122,0,1956,1,1,1,0,0,0,1,0,0,0,0,1
"123",123,1,1985,0,0,1,0,0,1,0,0,0,0,0,1
"124",124,1,1960,1,1,1,0,0,0,0,0,0,0,0,1
"125",125,1,1961,1,1,1,0,0,0,0,0,0,0,0,1
"126",126,0,1959,1,1,1,0,1,0,0,0,0,0,0,1
"127",127,0,1932,1,1,1,0,1,0,0,0,0,0,1,0
"128",128,1,1936,1,1,1,0,0,1,0,0,0,0,1,0
"129",129,1,1972,1,0,1,0,0,0,0,1,0,0,0,0
"130",130,0,1947,1,0,1,0,0,0,0,1,0,0,0,0
"131",131,1,1946,1,1,1,0,1,0,0,1,0,0,0,0
"132",132,0,1977,1,1,1,0,1,0,0,1,0,0,0,0
"133",133,0,1970,1,1,1,0,1,1,1,0,0,1,0,0
"134",134,1,1971,1,1,1,0,1,1,1,0,0,1,0,0
"135",135,0,1952,1,1,1,0,1,1,0,0,0,0,0,1
"136",136,1,1956,1,1,1,0,1,1,0,0,0,0,0,1
"137",137,1,1959,1,1,1,0,0,1,1,0,0,1,0,0
"138",138,0,1957,1,1,1,0,0,0,0,0,0,1,0,0
"139",139,1,1950,0,0,1,0,0,0,0,0,0,0,0,1
"140",140,0,1947,1,1,1,1,0,0,0,0,0,0,0,1
"141",141,1,1968,1,0,1,0,0,1,0,0,0,0,0,1
"142",142,0,1965,1,0,1,0,0,1,0,0,0,0,0,1
"143",143,1,1949,0,1,1,0,1,0,0,0,0,0,0,1
"144",144,0,1960,1,1,1,1,1,0,1,0,0,0,0,1
"145",145,0,1947,1,1,1,0,1,0,0,1,0,0,0,0
"146",146,1,1949,1,1,1,0,1,1,0,1,0,0,0,0
"147",147,0,1963,1,1,1,0,1,0,0,0,0,0,0,1
"148",148,1,1964,1,0,1,0,1,0,0,0,0,0,0,1
"149",149,1,1958,1,1,1,1,1,0,0,0,0,0,0,1
"150",150,0,1958,1,1,1,1,0,0,1,0,0,0,0,1
"151",151,0,1962,1,1,1,0,0,0,0,0,0,0,0,1
"152",152,1,1962,1,1,1,0,1,0,1,0,0,0,0,1
"153",153,1,1943,1,0,1,0,1,1,1,0,0,0,0,1
"154",154,0,1950,1,1,1,0,1,0,0,0,0,0,1,0
"155",155,1,1949,1,1,1,0,1,1,1,0,0,0,1,0
"156",156,1,1960,1,1,1,0,0,1,1,0,1,0,0,0
"157",157,0,1961,1,1,1,0,0,0,1,0,1,0,0,0
"158",158,0,1954,1,1,1,0,0,1,0,0,1,0,0,0
"159",159,1,1958,1,1,1,0,0,1,0,0,1,0,0,0
"160",160,0,1986,0,0,1,0,0,0,0,0,1,0,0,0
"161",161,0,1983,0,0,1,0,0,0,0,0,1,0,0,0
"162",162,1,1952,1,0,1,0,1,0,0,0,0,0,0,1
"163",163,0,1943,1,1,1,1,1,0,0,0,0,0,0,1
"164",164,0,1961,1,1,1,0,0,0,1,0,0,0,0,1
"165",165,1,1964,1,1,1,1,0,0,1,0,0,0,0,1
"166",166,1,1936,1,1,1,0,0,0,0,0,1,0,0,0
"167",167,0,1931,1,1,1,0,0,0,0,0,1,0,0,0
"168",168,1,1931,1,1,1,1,1,0,0,0,0,1,0,0
"169",169,0,1975,1,0,1,1,0,1,1,0,0,0,0,1
"170",170,1,1941,1,1,1,0,0,1,1,0,0,0,0,1
"171",171,0,1931,1,1,1,1,0,1,1,0,0,0,0,1
"172",172,1,1979,1,1,1,0,1,1,1,0,0,0,0,1
"173",173,1,1980,1,1,1,0,0,1,1,0,0,0,0,1
"174",174,0,1958,1,1,1,1,0,1,0,0,0,0,0,1
"175",175,1,1958,1,0,1,0,0,0,0,0,0,0,0,1
"176",176,1,1960,1,1,1,0,0,1,0,1,0,0,0,0
"177",177,0,1948,1,1,1,0,0,1,0,1,0,0,0,0
"178",178,1,1951,1,1,1,0,0,1,1,0,0,0,1,0
"179",179,0,1952,1,1,1,1,1,1,1,0,0,0,1,0
"180",180,0,1959,1,1,1,1,1,1,1,0,0,1,0,0
"181",181,1,1956,1,1,1,1,0,0,0,0,0,1,0,0
"182",182,1,1967,1,1,1,0,1,1,0,0,0,0,0,1
"183",183,0,1965,1,1,1,0,1,1,0,0,0,0,0,1
"184",184,0,1948,1,1,1,0,0,1,0,0,0,0,0,1
"185",185,1,1945,1,1,1,0,0,1,0,0,0,0,0,1
"186",186,1,1953,1,1,1,0,0,1,0,0,0,0,0,1
"187",187,0,1982,0,0,1,0,0,0,0,0,0,0,0,1
"188",188,0,1984,0,0,1,0,0,0,0,0,0,0,0,1
"189",189,0,1953,0,0,1,0,0,0,0,0,0,0,0,1
"190",190,1,1953,1,1,1,1,0,1,0,0,0,0,0,1
"191",191,0,1953,1,1,1,0,0,0,0,1,0,0,0,0
"192",192,1,1957,1,1,1,0,0,1,0,1,0,0,0,0
"193",193,0,1960,1,1,1,1,0,0,0,0,0,0,0,1
"194",194,1,1960,1,1,1,1,0,0,0,0,0,0,0,1
"195",195,0,1970,1,0,1,0,0,1,0,0,0,0,0,1
"196",196,1,1974,1,1,1,1,0,1,0,0,0,0,0,1
"197",197,1,1960,1,1,1,0,0,0,1,0,0,0,1,0
"198",198,0,1956,1,0,1,0,0,0,0,0,0,0,1,0
"199",199,0,1984,0,0,1,0,0,0,0,0,1,0,0,0
"200",200,1,1964,1,1,1,0,0,0,1,0,1,0,0,0
"201",201,0,1962,1,1,1,0,0,0,0,0,1,0,0,0
"202",202,1,1969,1,0,1,0,1,1,0,0,0,0,0,1
"203",203,0,1972,1,1,1,1,1,1,0,0,0,0,0,1
"204",204,0,1941,1,1,1,0,0,1,1,1,0,0,0,0
"205",205,1,1942,1,1,1,0,0,1,1,1,0,0,0,0
"206",206,0,1956,1,1,1,0,1,0,1,0,0,0,0,1
"207",207,1,1958,1,1,1,0,1,0,1,0,0,0,0,1
"208",208,0,1985,0,0,1,0,0,0,0,0,0,0,0,1
"209",209,0,1982,0,0,1,0,0,0,0,0,0,0,0,1
"210",210,0,1960,1,1,1,1,0,0,1,0,0,0,0,1
"211",211,0,1959,1,1,1,0,0,1,0,0,0,0,0,1
"212",212,1,1952,1,1,1,0,0,1,0,0,1,0,0,0
"213",213,0,1954,1,1,1,0,0,1,0,0,1,0,0,0
"214",214,0,1918,1,1,1,1,1,0,1,0,0,0,1,0
"215",215,1,1948,1,1,1,1,0,1,0,0,0,0,1,0
"216",216,0,1945,1,1,1,1,0,1,0,0,0,0,1,0
"217",217,0,1956,1,0,1,0,0,0,0,0,0,0,0,1
"218",218,1,1963,1,1,1,0,1,1,1,0,0,0,0,1
"219",219,1,1986,0,0,1,0,0,0,0,0,0,0,0,1
"220",220,0,1947,1,1,1,1,1,0,1,0,1,0,0,0
"221",221,0,1968,1,1,1,0,0,1,1,0,0,0,0,1
"222",222,1,1969,1,0,1,0,0,1,0,0,0,0,0,1
"223",223,0,1956,1,1,1,0,1,1,1,0,0,0,0,1
"224",224,1,1959,1,1,1,0,0,1,1,0,0,0,0,1
"225",225,0,1955,1,1,1,0,1,0,0,0,0,0,0,1
"226",226,0,1981,0,0,1,0,0,0,0,0,0,0,0,1
"227",227,0,1942,1,1,1,0,0,1,1,0,0,0,0,1
"228",228,1,1952,1,0,1,0,0,0,0,0,0,0,0,1
"229",229,1,1950,1,1,1,1,1,0,1,0,0,1,0,0
"230",230,1,1950,1,1,1,0,1,1,1,0,0,1,0,0
"231",231,1,1947,1,1,1,0,0,0,0,0,0,0,0,1
"232",232,0,1944,1,1,1,0,1,0,0,0,0,0,0,1
"233",233,0,1957,1,0,1,0,0,1,0,0,0,0,0,1
"234",234,1,1958,1,0,1,0,0,0,0,0,0,0,0,1
"235",235,0,1957,1,1,1,0,0,1,1,1,0,0,0,0
"236",236,0,1977,1,0,1,0,0,0,0,0,0,0,1,0
"237",237,1,1953,1,1,1,0,1,0,0,0,0,0,1,0
"238",238,1,1957,1,1,1,0,0,1,0,0,1,0,0,0
"239",239,0,1959,1,1,1,0,0,1,0,0,1,0,0,0
"240",240,0,1945,0,1,1,0,0,0,0,0,0,0,0,1
"241",241,1,1949,1,1,1,1,0,0,0,0,0,0,0,1
"242",242,0,1944,1,1,1,0,1,1,0,0,0,0,0,1
"243",243,1,1955,1,1,1,0,1,1,0,0,0,0,0,1
"244",244,0,1934,1,1,1,0,0,0,0,0,1,0,0,0
"245",245,1,1937,1,1,1,0,1,0,1,0,1,0,0,0
"246",246,1,1945,1,1,1,0,1,0,1,0,0,0,0,1
"247",247,0,1927,1,1,1,0,0,1,1,0,0,1,0,0
"248",248,1,1930,1,1,1,0,1,1,1,0,0,1,0,0
"249",249,0,1936,1,1,1,0,0,1,0,1,0,0,0,0
"250",250,1,1954,1,1,1,0,0,0,1,0,0,0,0,1
"251",251,0,1949,1,1,1,0,1,0,1,0,0,0,0,1
"252",252,0,1951,1,0,1,0,0,1,0,0,0,0,0,1
"253",253,1,1948,1,1,1,0,0,1,0,0,0,0,0,1
"254",254,0,1952,1,1,1,0,1,0,0,0,0,0,0,1
"255",255,1,1953,1,1,1,0,0,0,0,0,0,0,0,1
"256",256,1,1944,1,1,1,0,0,1,0,0,0,0,0,1
"257",257,0,1942,1,1,1,0,0,1,0,0,0,0,0,1
"258",258,1,1964,1,1,1,1,1,1,0,0,0,0,0,1
"259",259,0,1951,1,1,1,1,0,1,0,0,0,0,0,1
"260",260,0,1954,1,1,1,0,1,0,0,0,0,0,1,0
"261",261,1,1958,1,1,1,0,1,0,0,0,0,0,1,0
"262",262,0,1953,1,1,1,1,1,1,1,0,0,0,0,1
"263",263,1,1957,1,1,1,0,0,0,1,0,0,0,0,1
"264",264,0,1946,1,1,1,0,0,1,1,0,0,1,0,0
"265",265,1,1949,1,1,1,0,0,1,1,0,0,1,0,0
"266",266,0,1943,1,1,1,0,1,1,1,1,0,0,0,0
"267",267,1,1946,0,1,1,0,0,0,1,1,0,0,0,0
"268",268,1,1935,1,1,1,0,0,1,0,0,0,0,0,1
"269",269,0,1935,1,1,1,0,0,1,0,0,0,0,0,1
"270",270,0,1938,1,1,1,0,1,0,0,0,0,0,0,1
"271",271,1,1963,1,1,1,0,0,1,0,0,1,0,0,0
"272",272,0,1961,1,1,1,0,0,0,0,0,1,0,0,0
"273",273,1,1940,1,1,1,0,0,0,0,0,0,0,0,1
"274",274,0,1940,1,1,1,1,0,0,0,0,0,0,0,1
"275",275,0,1939,1,1,1,0,1,0,0,0,0,0,0,1
"276",276,1,1942,0,1,1,1,1,0,0,0,0,0,0,1
"277",277,1,1949,1,1,1,1,0,1,0,0,0,1,0,0
"278",278,0,1940,0,1,1,0,1,1,0,0,1,0,0,0
"279",279,1,1943,0,0,1,0,0,1,0,0,1,0,0,0
"280",280,0,1931,1,1,1,0,0,0,0,0,0,1,0,0
"281",281,0,1948,1,1,1,1,1,0,0,0,0,0,0,1
"282",282,1,1947,1,1,1,0,0,0,0,0,0,0,0,1
"283",283,0,1936,1,1,1,0,1,0,0,1,0,0,0,0
"284",284,0,1962,1,1,1,0,1,1,0,0,0,0,0,1
"285",285,1,1959,1,1,1,0,0,0,0,0,0,0,0,1
"286",286,0,1932,1,0,1,0,0,1,0,0,0,0,1,0
"287",287,1,1959,1,1,1,0,0,1,1,0,0,0,1,0
"288",288,0,1956,1,1,1,1,1,0,0,0,0,0,0,1
"289",289,1,1955,1,1,1,0,1,0,1,0,0,0,0,1
"290",290,0,1951,1,1,1,0,1,0,1,0,0,0,0,1
"291",291,0,1943,1,1,1,0,1,0,0,0,0,0,0,1
"292",292,1,1944,1,1,1,0,1,0,0,0,0,0,0,1
"293",293,0,1953,1,1,1,0,1,0,0,0,0,0,0,1
"294",294,1,1948,1,1,1,0,1,0,0,0,0,0,0,1
"295",295,1,1943,1,1,1,0,1,0,0,1,0,0,0,0
"296",296,0,1917,1,1,1,1,1,1,1,0,0,0,1,0
"297",297,0,1928,1,1,1,1,1,0,1,0,0,0,0,1
"298",298,1,1930,1,1,1,0,1,0,0,0,0,0,0,1
"299",299,0,1946,1,1,1,0,0,1,0,0,0,0,0,1
"300",300,1,1947,1,1,1,0,0,1,0,0,0,0,0,1
"301",301,1,1951,1,0,1,0,0,0,0,0,1,0,0,0
"302",302,0,1947,1,1,1,1,0,0,0,0,1,0,0,0
"303",303,0,1954,1,0,1,1,0,0,0,0,0,0,0,1
"304",304,1,1952,1,1,1,1,0,0,0,0,0,0,0,1
"305",305,0,1953,1,1,1,1,1,0,0,0,0,0,1,0
"306",306,1,1943,1,1,1,1,1,0,0,0,0,0,1,0
"307",307,0,1934,1,1,1,0,1,1,0,0,0,0,1,0
"308",308,1,1934,0,1,1,0,1,1,0,0,0,0,1,0
"309",309,0,1963,0,1,1,0,0,1,0,0,1,0,0,0
"310",310,0,1961,1,1,1,0,0,1,0,0,0,0,0,1
"311",311,1,1973,0,1,1,0,0,0,0,0,0,0,0,1
"312",312,1,1963,1,1,1,1,0,0,0,1,0,0,0,0
"313",313,0,1961,1,1,1,1,1,0,0,1,0,0,0,0
"314",314,1,1939,1,1,1,1,0,0,0,1,0,0,0,0
"315",315,0,1938,1,1,1,1,0,0,0,1,0,0,0,0
"316",316,1,1953,1,1,1,0,0,0,0,0,0,0,0,1
"317",317,0,1952,1,1,1,0,0,1,0,0,0,0,0,1
"318",318,1,1946,1,1,1,0,0,0,0,0,0,0,0,1
"319",319,0,1945,1,1,1,1,0,1,1,0,0,0,0,1
"320",320,1,1956,1,1,1,0,1,0,0,0,0,0,0,1
"321",321,0,1956,1,0,1,0,1,0,0,0,0,0,0,1
"322",322,1,1950,1,1,1,0,1,0,1,0,0,0,0,1
"323",323,0,1947,1,0,1,0,0,0,1,0,0,0,0,1
"324",324,0,1929,1,0,1,1,0,0,0,0,0,0,0,1
"325",325,1,1937,1,1,1,1,0,0,0,0,0,0,0,1
"326",326,1,1950,1,1,1,0,0,0,0,0,0,0,0,1
"327",327,1,1954,1,1,1,1,1,0,0,0,0,1,0,0
"328",328,0,1932,1,1,1,1,1,0,0,0,0,1,0,0
"329",329,1,1924,1,1,1,1,0,1,1,0,0,0,0,1
"330",330,0,1925,1,1,1,1,1,1,1,0,0,0,0,1
"331",331,0,1937,0,1,1,0,0,1,0,0,0,1,0,0
"332",332,0,1944,1,1,1,0,1,0,0,1,0,0,0,0
"333",333,0,1942,1,1,1,0,1,0,0,1,0,0,0,0
"334",334,1,1945,1,1,1,0,1,0,0,1,0,0,0,0
"335",335,1,1950,1,1,1,0,1,1,0,0,0,0,0,1
"336",336,0,1948,1,1,1,0,1,0,0,0,0,0,0,1
"337",337,1,1957,1,1,1,0,1,1,0,0,0,0,0,1
"338",338,0,1945,1,1,1,1,0,0,0,0,0,1,0,0
"339",339,1,1946,1,1,1,1,0,0,0,0,0,1,0,0
"340",340,1,1929,0,1,1,0,1,0,0,0,0,0,0,1
"341",341,0,1949,1,1,1,0,1,0,0,0,0,0,0,1
"342",342,1,1957,1,1,1,0,1,1,1,0,0,0,0,1
"343",343,0,1956,0,1,1,0,1,0,0,0,0,0,0,1
"344",344,0,1945,1,1,1,0,1,0,0,0,0,0,0,1
"345",345,1,1953,1,1,1,0,1,0,0,0,0,0,0,1
"346",346,1,1945,1,1,1,0,1,1,1,0,0,0,1,0
"347",347,0,1935,1,1,1,0,1,1,0,0,0,0,1,0
"348",348,0,1958,1,1,1,0,1,0,1,0,0,0,1,0
"349",349,1,1963,1,1,1,0,1,0,1,0,0,0,1,0
"350",350,0,1985,0,0,1,0,0,0,0,0,0,0,1,0
"351",351,0,1950,1,1,1,1,1,0,1,0,0,0,0,1
"352",352,1,1948,1,1,1,0,1,0,0,0,1,0,0,0
"353",353,0,1952,0,1,1,0,1,0,0,0,0,0,0,1
"354",354,1,1953,1,0,1,0,0,0,0,0,0,0,0,1
"355",355,1,1930,1,1,1,0,0,0,0,0,0,1,0,0
"356",356,0,1929,1,1,1,1,0,0,0,0,0,1,0,0
"357",357,0,1927,1,1,1,0,1,0,0,0,0,0,0,1
"358",358,0,1936,1,1,1,0,0,1,1,0,1,0,0,0
"359",359,0,1933,1,1,1,0,0,1,0,0,0,0,0,1
"360",360,0,1946,1,1,1,0,0,1,0,0,1,0,0,0
"361",361,1,1947,1,1,1,0,0,0,0,0,1,0,0,0
"362",362,1,1977,1,1,1,0,0,1,0,1,0,0,0,0
"363",363,1,1958,1,1,1,0,1,0,0,0,0,0,1,0
"364",364,0,1955,1,1,1,0,1,0,1,0,1,0,0,0
"365",365,1,1943,1,1,1,0,0,1,0,0,0,0,0,1
"366",366,0,1941,1,1,1,0,0,1,0,0,0,0,0,1
"367",367,1,1951,1,1,1,1,0,1,1,1,0,0,0,0
"368",368,0,1961,1,0,1,1,0,1,0,0,0,0,0,1
"369",369,0,1940,1,1,1,1,0,0,1,0,0,0,0,1
"370",370,1,1943,1,1,1,1,1,0,1,0,0,0,0,1
"371",371,0,1959,1,1,1,0,1,0,0,0,0,0,0,1
"372",372,1,1962,1,1,1,0,1,0,1,0,0,0,0,1
"373",373,0,1946,1,1,1,0,1,0,1,0,0,1,0,0
"374",374,1,1953,1,1,1,1,0,1,0,0,0,1,0,0
"375",375,0,1949,1,1,1,0,0,1,0,0,0,1,0,0
"376",376,0,1949,1,1,1,0,1,1,1,0,0,0,0,1
"377",377,0,1955,1,1,1,1,0,1,0,0,0,0,0,1
"378",378,1,1961,1,1,1,0,0,1,0,0,0,0,0,1
"379",379,1,1957,1,1,1,0,0,1,0,0,0,0,0,1
"380",380,0,1954,1,1,1,0,0,1,0,0,0,0,0,1
"381",381,0,1965,0,0,1,0,1,1,0,0,0,0,0,1
"382",382,1,1967,1,1,1,0,0,0,0,0,0,0,0,1
"383",383,0,1945,1,1,1,0,1,0,0,0,0,0,0,1
"384",384,1,1948,1,1,1,0,1,0,0,0,0,0,0,1
"385",385,1,1948,1,1,1,1,0,0,1,0,0,0,1,0
"386",386,0,1949,1,1,1,0,0,0,1,0,0,0,1,0
"387",387,0,1979,1,0,1,0,0,0,0,0,0,0,1,0
"388",388,0,1961,1,1,1,0,0,0,1,0,0,0,0,1
"389",389,1,1926,1,1,1,0,1,0,0,0,0,0,0,1
"390",390,0,1966,1,1,1,0,1,0,0,0,0,0,1,0
"391",391,1,1962,0,0,1,0,0,0,0,0,0,0,1,0
"392",392,1,1938,1,1,1,1,1,0,0,0,1,0,0,0
"393",393,1,1962,1,1,1,0,1,0,1,0,0,0,0,1
"394",394,1,1957,1,1,1,1,1,1,0,0,0,0,0,1
"395",395,0,1949,1,1,1,0,1,0,0,0,0,0,0,1
"396",396,1,1975,1,0,1,0,0,1,1,0,0,0,0,1
"397",397,1,1950,1,1,1,0,0,1,0,1,0,0,0,0
"398",398,1,1980,0,0,1,0,0,0,0,1,0,0,0,0
"399",399,1,1942,1,1,1,0,1,0,1,0,0,0,0,1
"400",400,0,1943,1,1,1,0,1,0,1,0,0,0,0,1
"401",401,1,1948,1,1,1,0,0,1,0,0,0,0,1,0
"402",402,0,1948,1,1,1,0,1,1,0,0,0,0,1,0
"403",403,0,1959,1,1,1,0,1,0,0,0,0,0,0,1
"404",404,1,1960,1,1,1,0,0,0,0,0,0,0,0,1
"405",405,0,1951,1,1,1,1,1,1,0,0,0,0,0,1
"406",406,1,1938,1,0,1,0,1,1,0,0,0,0,0,1
"407",407,0,1952,1,1,1,1,1,1,0,0,0,0,0,1
"408",408,1,1949,1,1,1,0,0,1,0,0,0,0,0,1
